id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5530651,Spacious room in charming apartment,28680718,Lena,,Whring,48.21971,16.34232,Private room,25,3,12,2016-09-23,0.14,1,0,0,
5080242,your own central apartment in VIE,17858474,Elisabeth,,Margareten,48.19452,16.35909,Entire home/apt,55,2,33,2015-10-25,0.36,1,0,0,
5081013,studio apartment,23443905,Peter,,Landstra§e,48.19494,16.407,Entire home/apt,110,1,11,2022-07-25,0.23,7,322,1,
5534416,65 m2 flat during Song Contest,28697340,Harald,,Landstra§e,48.197,16.39317,Entire home/apt,120,1,0,,,1,0,0,
5101125,bright and cozy room in vienna,26356935,Yannick,,Leopoldstadt,48.21921,16.40375,Private room,39,2,28,2017-09-30,0.31,1,0,0,
5541239,Wunderschönes Zimmer im 7. Bezirk,16876011,Friederike,,Neubau,48.20332,16.35096,Private room,45,1,1,2017-08-31,0.02,1,0,0,
5101813,Terracedream in the city!,26357504,Nadja,,Neubau,48.20696,16.33861,Entire home/apt,48,4,0,,,1,0,0,
5102698,Wohnung im Herzen der Stadt!,2713819,Barbara,,Leopoldstadt,48.2222,16.38228,Entire home/apt,99,2,1,2016-02-19,0.01,1,0,0,
5542616,"2-4p, 15min Stadthalle+parking lot",28739730,Sabrina,,Hernals,48.22299,16.31556,Entire home/apt,319,1,0,,,1,0,0,
5551917,Lovely flat in best area of Vienna,16361567,Max,,Neubau,48.20381,16.35422,Entire home/apt,55,1,4,2016-07-07,0.04,1,0,0,
5104670,Wohnung | Apartment to rent,26196389,Anastasia,,Whring,48.22445,16.33718,Entire home/apt,60,2,39,2017-06-11,0.42,3,0,0,
5556098,"Sunny Apt. near Imperial Palace, SHORT/LONG TERM",6920447,Helene,,Meidling,48.17948,16.33135,Entire home/apt,51,2,199,2022-01-02,2.20,1,219,4,
5109180,Cozy Studio in the City Centre,113168,Cristina,,Leopoldstadt,48.21623,16.38238,Entire home/apt,64,3,543,2022-09-03,5.89,3,218,85,
5558843,OFFER ◉ Central & quiet. Nice flat in a great area,6666498,Flo,,Neubau,48.20162,16.34834,Entire home/apt,88,2,240,2022-08-19,4.96,1,187,53,
5113916,"Zentral, 2 Räume, Parkplatz im Haus, wifi",8060786,Peter,,Neubau,48.2046,16.33999,Entire home/apt,50,30,66,2022-08-31,0.79,2,150,11,
5559481,Roof terrace flat in the centre,28821575,Christine,,Neubau,48.20179,16.3419,Entire home/apt,110,2,150,2022-09-11,1.67,1,285,23,
5131555,Schickes Zimmer im hippen 7. Bezirk,26528018,Cinja,,Neubau,48.20337,16.34308,Private room,30,7,5,2017-01-02,0.06,1,0,0,
5564838,"Nice apartment, next to Naschmarkt",28851771,Michael,,Wieden,48.19755,16.36504,Entire home/apt,69,2,109,2022-08-19,1.23,1,6,20,
5141259,★Gorgeous Modern Home★City Center - Best Location,4695515,Michael,,Innere Stadt,48.21048,16.37473,Entire home/apt,123,2,276,2022-08-28,3.00,7,206,39,
5152386,Manusch Flat with terrace!,26639801,JustinaManusch,,Landstra§e,48.20366,16.39462,Entire home/apt,65,2,378,2022-08-29,4.17,2,308,57,
5567680,T R O P O P A U S E    WIEN,28331678,Vigo,,Brigittenau,48.22848,16.3711,Entire home/apt,57,30,59,2022-05-31,0.66,1,46,3,
5162208,"Doppel-Zi & Bad, Nähe SongContest",17237018,Peter,,Rudolfsheim-Fnfhaus,48.19603,16.33437,Private room,120,3,0,,,1,0,0,
5568421,Nice Apartment near Transport,28868851,Marc,,Favoriten,48.17492,16.37096,Entire home/apt,45,5,0,,,2,0,0,
5585151,Apartment City-Center 2,27885077,Peter,,Innere Stadt,48.21103,16.37837,Entire home/apt,79,3,35,2022-08-25,0.40,4,276,6,
5165795,"Vienna, Appartment near Schönbrunn",26719892,Franz,,Meidling,48.18211,16.3194,Entire home/apt,60,4,33,2022-04-03,0.37,1,337,2,
5165997,Antique studio with balcony parking,756858,Manfred,,Meidling,48.174271,16.318005,Entire home/apt,60,5,18,2022-02-28,0.20,6,1,1,
5589190,city palais for longterm vacation,7447053,Jascha,,Wieden,48.18814,16.37504,Private room,37,7,0,,,1,0,0,
5591571,Quiet and central location,28990519,Petra,,Landstra§e,48.19389,16.38653,Entire home/apt,79,21,15,2022-01-10,0.17,1,195,2,
5169106,Zentral: Zwischen Prater und City,26734077,Elisabeth,,Leopoldstadt,48.21827,16.3882,Entire home/apt,85,3,73,2022-08-29,0.81,1,157,9,
5172282,Rooftop apartment with terrace,20660800,Sladan,,Leopoldstadt,48.21862,16.40189,Private room,50,2,249,2022-08-23,2.94,3,122,30,
5600613,VIENNA CALLING | Guest Apartment,10456345,Leon,,Alsergrund,48.2166,16.35565,Entire home/apt,86,3,90,2022-09-01,1.02,1,17,12,
5601764,Smart Apartment,15920643,Gianna,,Alsergrund,48.21618,16.34546,Entire home/apt,50,1,2,2015-08-05,0.02,1,0,0,
5173364,Heart of Vienna - 120m2 Renovated,26757368,Benedict,,Innere Stadt,48.21084,16.37614,Entire home/apt,103,5,192,2020-09-15,2.12,1,265,0,
